"assay_date"	"CEL.file"
2016-01-29	"GSM2083651_70_HFD_scWAT.CEL"
2016-01-29	"GSM2083651_70_HFD_scWAT.CEL"
2016-01-27	"GSM2083652_71_CD_scWAT.CEL"
2016-01-27	"GSM2083652_71_CD_scWAT.CEL"
2016-01-29	"GSM2083653_71_HFD_scWAT.CEL"
2016-01-29	"GSM2083653_71_HFD_scWAT.CEL"
2016-01-27	"GSM2083654_73_CD_scWAT.CEL"
2016-01-27	"GSM2083654_73_CD_scWAT.CEL"
2016-01-29	"GSM2083655_73_HFD_scWAT.CEL"
2016-01-29	"GSM2083655_73_HFD_scWAT.CEL"
2016-01-27	"GSM2083656_75_CD_scWAT.CEL"
2016-01-27	"GSM2083656_75_CD_scWAT.CEL"
2016-01-29	"GSM2083657_75_HFD_scWAT.CEL"
2016-01-29	"GSM2083657_75_HFD_scWAT.CEL"
2016-01-27	"GSM2083658_79_CD_scWAT.CEL"
2016-01-27	"GSM2083658_79_CD_scWAT.CEL"
2016-01-29	"GSM2083659_79_HFD_scWAT.CEL"
2016-01-29	"GSM2083659_79_HFD_scWAT.CEL"
2016-01-27	"GSM2083660_80_CD_scWAT.CEL"
2016-01-27	"GSM2083660_80_CD_scWAT.CEL"
2016-01-29	"GSM2083661_80_HFD_scWAT.CEL"
2016-01-29	"GSM2083661_80_HFD_scWAT.CEL"
2016-01-27	"GSM2083662_81_CD_scWAT.CEL"
2016-01-27	"GSM2083662_81_CD_scWAT.CEL"
2016-01-29	"GSM2083663_81_HFD_scWAT.CEL"
2016-01-29	"GSM2083663_81_HFD_scWAT.CEL"
2016-01-27	"GSM2083664_83_CD_scWAT.CEL"
2016-01-27	"GSM2083664_83_CD_scWAT.CEL"
2016-01-29	"GSM2083665_83_HFD_scWAT.CEL"
2016-01-29	"GSM2083665_83_HFD_scWAT.CEL"
2016-01-27	"GSM2083666_84_CD_scWAT.CEL"
2016-01-27	"GSM2083666_84_CD_scWAT.CEL"
2016-01-29	"GSM2083667_84_HFD_scWAT.CEL"
2016-01-29	"GSM2083667_84_HFD_scWAT.CEL"
2016-01-27	"GSM2083668_85_CD_scWAT.CEL"
2016-01-27	"GSM2083668_85_CD_scWAT.CEL"
2016-01-29	"GSM2083669_85_HFD_scWAT.CEL"
2016-01-29	"GSM2083669_85_HFD_scWAT.CEL"
2016-01-27	"GSM2083670_87_CD_scWAT.CEL"
2016-01-27	"GSM2083670_87_CD_scWAT.CEL"
2016-01-29	"GSM2083671_87_HFD_scWAT.CEL"
2016-01-29	"GSM2083671_87_HFD_scWAT.CEL"
2016-01-28	"GSM2083672_89_CD_scWAT.CEL"
2016-01-28	"GSM2083672_89_CD_scWAT.CEL"
2016-01-29	"GSM2083673_89_HFD_scWAT.CEL"
2016-01-29	"GSM2083673_89_HFD_scWAT.CEL"
2016-01-28	"GSM2083674_90_CD_scWAT.CEL"
2016-01-28	"GSM2083674_90_CD_scWAT.CEL"
2016-01-29	"GSM2083675_90_HFD_scWAT.CEL"
2016-01-29	"GSM2083675_90_HFD_scWAT.CEL"
2016-01-28	"GSM2083676_92a_CD_scWAT.CEL"
2016-01-28	"GSM2083676_92a_CD_scWAT.CEL"
2016-01-28	"GSM2083677_95_CD_scWAT.CEL"
2016-01-28	"GSM2083677_95_CD_scWAT.CEL"
2016-01-29	"GSM2083678_95_HFD_scWAT.CEL"
2016-01-29	"GSM2083678_95_HFD_scWAT.CEL"
2016-01-28	"GSM2083679_96_CD_scWAT.CEL"
2016-01-28	"GSM2083679_96_CD_scWAT.CEL"
2016-01-28	"GSM2083680_97_CD_scWAT.CEL"
2016-01-28	"GSM2083680_97_CD_scWAT.CEL"
2016-01-29	"GSM2083681_97_HFD_scWAT.CEL"
2016-01-29	"GSM2083681_97_HFD_scWAT.CEL"
2016-01-28	"GSM2083682_98_CD_scWAT.CEL"
2016-01-28	"GSM2083682_98_CD_scWAT.CEL"
2016-01-29	"GSM2083683_98_HFD_scWAT.CEL"
2016-01-29	"GSM2083683_98_HFD_scWAT.CEL"
2016-01-28	"GSM2083684_99_CD_scWAT.CEL"
2016-01-28	"GSM2083684_99_CD_scWAT.CEL"
2016-01-29	"GSM2083685_99_HFD_scWAT.CEL"
2016-01-29	"GSM2083685_99_HFD_scWAT.CEL"
2016-01-28	"GSM2083686_100_CD_scWAT.CEL"
2016-01-28	"GSM2083686_100_CD_scWAT.CEL"
2016-01-29	"GSM2083687_100_HFD_scWAT.CEL"
2016-01-29	"GSM2083687_100_HFD_scWAT.CEL"
2016-01-28	"GSM2083688_101_CD_scWAT.CEL"
2016-01-28	"GSM2083688_101_CD_scWAT.CEL"
2016-01-29	"GSM2083689_101_HFD_scWAT.CEL"
2016-01-29	"GSM2083689_101_HFD_scWAT.CEL"
2016-01-28	"GSM2083690_103_CD_scWAT.CEL"
2016-01-28	"GSM2083690_103_CD_scWAT.CEL"
2016-01-29	"GSM2083691_103_HFD_scWAT.CEL"
2016-01-29	"GSM2083691_103_HFD_scWAT.CEL"
2016-01-28	"GSM2083692_C57_CD_scWAT.CEL"
2016-01-28	"GSM2083692_C57_CD_scWAT.CEL"
2016-01-29	"GSM2083693_C57_HFD_scWAT.CEL"
2016-01-29	"GSM2083693_C57_HFD_scWAT.CEL"
2016-01-28	"GSM2083694_DBA_CD_scWAT.CEL"
2016-01-28	"GSM2083694_DBA_CD_scWAT.CEL"
2016-01-29	"GSM2083695_DBA_HFD_scWAT.CEL"
2016-01-29	"GSM2083695_DBA_HFD_scWAT.CEL"
